Txn Date,Date,account-id,Debit,Credit
01-Feb-24,2024-02-01,TRANSFER FROM 4897735162098, ,33
01-Feb-24,2024-02-01,TRANSFER TO 4897693162093,66, 
01-Feb-24,2024-02-01,TRANSFER TO 4897693162093,25, 
01-Feb-24,2024-02-01,TRANSFER TO 4897693162093,130, 
01-Feb-24,2024-02-01,TRANSFER TO 4897693162093,26, 
01-Feb-24,2024-02-01,TRANSFER TO 4897693162093,89, 
01-Feb-24,2024-02-01,TRANSFER FROM 4897735162098, ,44
01-Feb-24,2024-02-01,TRANSFER TO 4897693162093,593.5, 
01-Feb-24,2024-02-01,TRANSFER FROM 4897735162098, ,"10,000.00"
01-Feb-24,2024-02-01,TRANSFER FROM 4897735162098, ,44
01-Feb-24,2024-02-01,TRANSFER TO 4897693162093,270, 
01-Feb-24,2024-02-01,TRANSFER FROM 4897736162097, ,44
01-Feb-24,2024-02-01,TRANSFER FROM 4897736162097, ,216.66
02-Feb-24,2024-02-02,TRANSFER TO 4897694162092,33, 
02-Feb-24,2024-02-02,TRANSFER TO 4897694162092,27, 
02-Feb-24,2024-02-02,TRANSFER TO 4897694162092,20, 
02-Feb-24,2024-02-02,TRANSFER TO 4897694162092,"23,000.00", 
02-Feb-24,2024-02-02,TRANSFER TO 4897694162092,100000, 
02-Feb-24,2024-02-02,TRANSFER TO 4897694162092,300, 
02-Feb-24,2024-02-02,TRANSFER TO 4897694162092,520, 
02-Feb-24,2024-02-02,TRANSFER TO 4897694162092,"7,666.66", 
02-Feb-24,2024-02-02,TRANSFER TO 4897694162092,"3,000.00", 
02-Feb-24,2024-02-02,TRANSFER FROM 4897736162097, ,"3,000.00"
02-Feb-24,2024-02-02,TRANSFER TO 4897694162092,300, 
03-Feb-24,2024-02-03,TRANSFER TO 4897695162091,100, 
03-Feb-24,2024-02-03,TRANSFER FROM 4897737162096, ,33
03-Feb-24,2024-02-03,TRANSFER TO 4897695162091,28, 
03-Feb-24,2024-02-03,TRANSFER TO 4897695162091,25, 
03-Feb-24,2024-02-03,TRANSFER FROM 4897737162096, ,"1,560.00"
03-Feb-24,2024-02-03,TRANSFER TO 4897695162091,50, 
03-Feb-24,2024-02-03,TRANSFER TO 4897695162091,120, 
03-Feb-24,2024-02-03,TRANSFER TO 4897695162091,269.25, 
03-Feb-24,2024-02-03,TRANSFER TO 4897695162091,40, 
04-Feb-24,2024-02-04,TRANSFER TO 4897696162090,45, 
04-Feb-24,2024-02-04,TRANSFER FROM 4897738162095, ,"10,000.00"
04-Feb-24,2024-02-04,TRANSFER FROM 4897738162095, ,50
04-Feb-24,2024-02-04,TRANSFER FROM 4897738162095, ,264.66
04-Feb-24,2024-02-04,TRANSFER TO 4897696162090,90, 
04-Feb-24,2024-02-04,TRANSFER TO 4897696162090,25, 
04-Feb-24,2024-02-04,TRANSFER TO 4897696162090,192, 
04-Feb-24,2024-02-04,TRANSFER TO 4897696162090,250, 
04-Feb-24,2024-02-04,TRANSFER FROM 4897738162095, ,50
05-Feb-24,2024-02-05,TRANSFER FROM 4897732162091, ,"1,315.00"
05-Feb-24,2024-02-05,TRANSFER FROM 4897732162091, ,264.67
05-Feb-24,2024-02-05,TRANSFER TO 4897690162095,10, 
05-Feb-24,2024-02-05,TRANSFER TO 4897690162095,"1,588.00", 
05-Feb-24,2024-02-05,TRANSFER FROM 4897732162091, ,264.66
05-Feb-24,2024-02-05,TRANSFER FROM 4897732162091, ,85
05-Feb-24,2024-02-05,TRANSFER TO 4897690162095,"2,691.00", 
05-Feb-24,2024-02-05,TRANSFER FROM 4897732162091, ,149
05-Feb-24,2024-02-05,TRANSFER FROM 4897732162091, ,837.17
05-Feb-24,2024-02-05,TRANSFER FROM 4897732162091, ,85
06-Feb-24,2024-02-06,TRANSFER FROM 4897733162090, ,85
06-Feb-24,2024-02-06,TRANSFER TO 4897691162095,510, 
06-Feb-24,2024-02-06,TRANSFER TO 4897691162095,"1,463.00", 
07-Feb-24,2024-02-07,TRANSFER TO 4897692162094,90, 
07-Feb-24,2024-02-07,TRANSFER TO 4897692162094,250, 
08-Feb-24,2024-02-08,TRANSFER TO 4897693162093,35, 
08-Feb-24,2024-02-08,TRANSFER TO 4897693162093,135, 
08-Feb-24,2024-02-08,TRANSFER FROM 4897735162098, ,17
09-Feb-24,2024-02-09,TRANSFER TO 4897694162092,40.84, 
09-Feb-24,2024-02-09,TRANSFER TO 4897694162092,855, 
09-Feb-24,2024-02-09,TRANSFER FROM 4897736162097, ,141.66
09-Feb-24,2024-02-09,TRANSFER FROM 4897736162097, ,141.67
10-Feb-24,2024-02-10,TRANSFER TO 4897695162091,10001.5, 
10-Feb-24,2024-02-10,TRANSFER FROM 4897737162096, ,50
10-Feb-24,2024-02-10,TRANSFER TO 4897695162091,147.84, 
10-Feb-24,2024-02-10,TRANSFER TO 4897695162091,15, 
10-Feb-24,2024-02-10,TRANSFER TO 4897695162091,30, 
10-Feb-24,2024-02-10,TRANSFER TO 4897695162091,126, 
10-Feb-24,2024-02-10,TRANSFER TO 4897695162091,890, 
10-Feb-24,2024-02-10,TRANSFER TO 4897695162091,70, 
10-Feb-24,2024-02-10,TRANSFER TO 4897695162091,70, 
10-Feb-24,2024-02-10,TRANSFER FROM 4897695162091, ,70
11-Feb-24,2024-02-11,TRANSFER TO 4897696162090,50, 
11-Feb-24,2024-02-11,TRANSFER TO 4897696162090,24, 
11-Feb-24,2024-02-11,TRANSFER FROM 4897738162095, ,445
12-Feb-24,2024-02-12,TRANSFER TO 4897690162095,45, 
12-Feb-24,2024-02-12,TRANSFER TO 4897690162095,45, 
13-Feb-24,2024-02-13,TRANSFER TO 4897691162095,460, 
15-Feb-24,2024-02-15,TRANSFER TO 4897693162093,150, 
15-Feb-24,2024-02-15,TRANSFER TO 4897693162093,60, 
15-Feb-24,2024-02-15,TRANSFER TO 4897693162093,50, 
15-Feb-24,2024-02-15,TRANSFER TO 4897693162093,115, 
15-Feb-24,2024-02-15,TRANSFER TO 4897693162093,520, 
16-Feb-24,2024-02-16,TRANSFER TO 4897694162092,23, 
16-Feb-24,2024-02-16,TRANSFER FROM 4897736162097, ,86.67
16-Feb-24,2024-02-16,TRANSFER FROM 4897736162097, ,110
16-Feb-24,2024-02-16,TRANSFER TO 4897694162092,114, 
17-Feb-24,2024-02-17,TRANSFER TO 4897695162091,120, 
17-Feb-24,2024-02-17,TRANSFER FROM 4897737162096, ,40
17-Feb-24,2024-02-17,TRANSFER FROM 4897737162096, ,13.33
17-Feb-24,2024-02-17,TRANSFER FROM 4897737162096, ,86.66
17-Feb-24,2024-02-17,TRANSFER TO 4897695162091,125, 
17-Feb-24,2024-02-17,TRANSFER TO 4897695162091,50, 
18-Feb-24,2024-02-18,TRANSFER FROM 4897737162096, ,72
18-Feb-24,2024-02-18,TRANSFER TO 4897696162090,60, 
18-Feb-24,2024-02-18,TRANSFER TO 4897696162090,60, 
18-Feb-24,2024-02-18,TRANSFER TO 4897696162090,330, 
18-Feb-24,2024-02-18,TRANSFER TO 4897696162090,410, 
19-Feb-24,2024-02-19,TRANSFER FROM 4897732162091, ,50
19-Feb-24,2024-02-19,TRANSFER TO 4897690162095,90000, 
20-Feb-24,2024-02-20,TRANSFER TO 4897691162095,60, 
20-Feb-24,2024-02-20,TRANSFER FROM 4897733162090, ,55
20-Feb-24,2024-02-20,TRANSFER FROM 4897733162090, ,55
20-Feb-24,2024-02-20,TRANSFER FROM 4897733162090, ,86.66
20-Feb-24,2024-02-20,TRANSFER TO 4897691162095,"1,100.00", 
20-Feb-24,2024-02-20,TRANSFER FROM 4897733162090, ,183.33
20-Feb-24,2024-02-20,TRANSFER TO 4897691162095,110, 
21-Feb-24,2024-02-21,TRANSFER FROM 4897734162099, ,"1,000.00"
21-Feb-24,2024-02-21,TRANSFER TO 4897692162094,100, 
22-Feb-24,2024-02-22,TRANSFER TO 4897693162093,100, 
22-Feb-24,2024-02-22,TRANSFER FROM 4897735162098, ,183.34
